id,name,description,keywords,url
G-1,CATASＴROPHE -呪われた鉱山-,この鉱山は、相次ぐ行方不明者により２週間前から封鎖されている。何人もが調査に向かったが、誰一人として戻らなかった。今、トロッコに乗り真相を究明し、無事に帰還してほしい。幸運を祈る。,2棟3階 2年5組教室,3-9:CATASＴROPHE -呪われた鉱山-:2棟3階 2年5組教室:し:より:トロッコ:乗り:今:何人:向かっ:封鎖:帰還:幸運:戻ら:無事:相次ぐ:真相:祈る:究明:行方不明:調査:鉱山:２,https://suishosai.netlify.com/events/G1.html
H-1,Change the World～科学部～,科学部ではレゴや分子のゲーム、１年生のピタゴラスイッチ、今までの活動での製作物の展示や面白い実験をやります。理科に興味がある人もない人も是非化学室に来て、理科の楽しさを体感しましょう。,3棟1階 化学室,科学部:Change the World～科学部～:3棟1階 化学室:人:理科:ある:やり:ゲーム:ピタゴラスイッチ:レゴ:体感:分子:化学:実験:展示:来:活動:科学:興味:製作物:１,https://suishosai.netlify.com/events/H1.html
H-2,トラッシュバスターず,すぐにあふれてしまい、分別しにくい既存のゴミ箱の問題点を解決し、新たなゴミ箱を作りました。会場内に設置していますので、ぜひご利用ください。生徒会執行部も資源が分別、再生されることを応援しています。,会場なし,生徒会:トラッシュバスターず:会場なし:ゴミ箱:分別:あふれ:こと:ご利用:会場:作り:再生:問題点:執行:応援:既存:生徒会:解決:設置:資源,https://suishosai.netlify.com/events/H2.html
H-3,書道部,部員それぞれが個性を発揮して制作した作品を展示しています。“書道”という芸術を心で感じてみませんか。きっと日頃のストレスが解消するはずです。日々の活動の成果を是非ご覧ください。,2棟4階 1年2組教室,書道部:書道部:2棟4階 1年2組教室:いう:ご覧:それぞれ:はず:ストレス:作品:個性:制作:展示:心:感じ:成果:日々:日頃:書道:活動:発揮:芸術:解消:部員,https://suishosai.netlify.com/events/H3.html
H-4,国際交流委員会,国際交流委員会で行った活動の報告と紹介を掲示式で行います。また、姉妹校のルーズベルト高校に訪問した際の写真を展示し、紹介します。来校者向けに質疑応答も行うので、気軽に見に来てください。,2棟2階 3年3組教室,国交委員:国際交流委員会:2棟2階 3年3組教室:紹介:ルーズベルト:交流:写真:国際:報告:姉妹校:委員会:展示:応答:掲示:来:来校:活動:行い:行う:行っ:見:訪問:質疑:際:高校,https://suishosai.netlify.com/events/H4.html
H-5,数学研究部,数学研究部では、自作した様々なテーマの論文をまとめた翠数誌の配布とその講義を行います。頭の体操にちょうどいいので、ぜひ来て下さい！,2棟3階 2年2組教室,数学研究部:数学研究部:2棟3階 2年2組教室:まとめ:テーマ:体操:数:数学:来:様々:研究:翠:自作:行い:論文:講義:配布:頭,https://suishosai.netlify.com/events/H5.html
H-6,IT研究部,IT研究部では自作ゲームの展示を行います。校章を飛ばして教科書と文房具を倒すゲームを作りました。日頃のストレスを発散しましょう！ルンバのシューティングゲーム、テトリスもあります。ぜひ来てください！,2棟4階 1年4組教室,ＩＴ研究部:IT研究部:2棟4階 1年4組教室:ゲーム:IT:あり:シューティング:ストレス:テトリス:ルンバ:作り:倒す:展示:教科書:文房具:日頃:来:校章:発散:研究:自作:行い:飛ばし,https://suishosai.netlify.com/events/H6.html
H-7,保健委員会,「ほけんだよりセレクション」の展示を行います。様々な役立つ情報を見ることができるので、皆さんぜひ足を運んでください！,2棟2階 2年8組教室,保健委員会:保健委員会:2棟2階 2年8組教室:こと:できる:ほけん:セレクション:展示:役立つ:情報:様々:皆さん:行い:見る:足:運ん,https://suishosai.netlify.com/events/H7.html
H-8,写真部,行事写真から大会で撮影したもの、部員の日常の１コマまで、とっておきの一枚を展示します。是非お立ち寄りください！,2棟4階 1年2組教室,写真部:写真部:2棟4階 1年2組教室:お立ち寄り:とっておき:もの:一枚:写真:大会:展示:撮影:日常:行事:部員:１,https://suishosai.netlify.com/events/H8.html
I-1,放送委員会映像班,日頃から映像班は映像を制作しています。学校紹介ビデオや全国大会での入選作品を上映します。休憩ついでにでもぜひ覗いてみて下さい。来たれ！,2棟4階 1年4組教室,SHBC:放送委員会映像班:2棟4階 1年4組教室:映像:ビデオ:上映:休憩:作品:入選:全国大会:制作:学校:日頃:来たれ:班:紹介:覗い,https://suishosai.netlify.com/events/I1.html
I-2,ふしぎな短編演劇,われわれ演劇部は、２０分前後の短編演劇を上映します。観劇が初めての人も是非ご気軽にお立寄りください。個性豊かな部員たちによる不思議で愉快な芝居をお届けします。さあ、貴方もワンダーランドへようこそ…,2棟3階 1年9組教室,演劇部:ふしぎな短編演劇:2棟3階 1年9組教室:演劇:お届け:よる:われわれ:ワンダーランド:上映:不思議:人:個性:初めて:愉快:短編:立寄り:芝居:観劇:貴方:部員:２０,https://suishosai.netlify.com/events/I2.html
J-1,ポピュラーソング部,ポピュラーソング部部員がライブを行います!かっこいいバンドからかわいいバンドまで多種多様な演奏はあなたを楽しませること間違いなし!!ぜひ見に来てください!☆彡,3棟1階 テキサス,ポプソン:ポピュラーソング部:3棟1階 テキサス:バンド:あなた:こと:ソング:ポピュラー:ライブ:多種多様:来:楽しま:演奏:行い:見:部員,https://suishosai.netlify.com/events/J1.html
K-1,Clear Cider,こんにちは！2年生バンドのClearCiderです！！5人でしか成り立たない、サイダーのように弾けた爽快感溢れる演奏を、ぜひ聴きに来てください！藤棚でお待ちしてます♩,藤棚,ポピュラーソング部:Clear Cider:藤棚:2:5:ClearCider:お待ち:サイダー:バンド:弾け:成り立た:来:溢れる:演奏:爽快感:聴き:藤棚,https://suishosai.netlify.com/events/K1.html
K-2,箪笥,こんにちは箪笥(たんす)です！！箪笥はボーカル、ギター、ベース、キーボード、ドラムから成る5人組バンドです。3年間培ったパワーを皆さんに見せつけ、翠嵐イコール勉強のイメージを払拭します！！,藤棚,ポピュラーソング部:箪笥:藤棚:箪笥:3:5:たんす:イコール:イメージ:キーボード:ギター:ドラム:バンド:パワー:ベース:ボーカル:勉強:培っ:成る:払拭:皆さん:翠嵐:見せつけ,https://suishosai.netlify.com/events/K2.html
K-3,スマルト,Aimerなどのバラード曲をバンドで演奏します！,藤棚,ポピュラーソング部:スマルト:藤棚:Aimer:バラード:バンド:曲:演奏,https://suishosai.netlify.com/events/K3.html
K-4,さけいくら,素朴ながらも安心の味わい。さけいくらの演奏をどうぞお楽しみください。,藤棚,ポピュラーソング部:さけいくら:藤棚:いくら:さけ:味わい:安心:楽しみ:演奏:素朴,https://suishosai.netlify.com/events/K4.html
K-5,Vegetable's,Vegetable'sは個性溢れる5種類の野菜達による、市場直の新鮮で良品質のステージをお届けします！藤棚ライブでは青空の下、たくさん光合成をして最高の演奏をするので栄養たっぷり！ぜひお越しください！,藤棚,ポピュラーソング部:Vegetable's:藤棚:5:Vegetable's:お届け:お越し:し:する:たくさん:よる:ステージ:ライブ:下:個性:光合成:市場:新鮮:最高:栄養:溢れる:演奏:直:良品質:藤棚:野菜:青空,https://suishosai.netlify.com/events/K5.html
K-6,圧倒的庶民派,独特なバンド名だが、演奏曲はJ-POP・ROCKを主としていて、彼らなりの魅力で観客を巻き込む。ボーカルを務める岩倉龍一の秀逸なトークにも注目だ。,藤棚,ポピュラーソング部:圧倒的庶民派:藤棚:J-POP:ROCK:い:トーク:バンド:ボーカル:務める:岩倉:巻き込む:彼ら:注目:演奏曲:独特:観客:魅力:龍一,https://suishosai.netlify.com/events/K6.html
